Address__1_2_3_4_5_6_7,Area__1_2_3_4_5_6_7,City__1_2_3_4_5_6_7,Class__1_2_3_4_5_6_7,INTEGRATION__1_2_3_4_5_6_7,Keyword1__1_5_6_7,Keyword2__1_5_6_7,Keyword3__1_5_6_7,LISTING_PICTURES__1_2_3_4_5_6_7,StatusID__1_2_3_4_5_6_7,SystemPrice__1_2_3_4_5_6_7,Type___1_2_3_4_5_6_7,Zip__1_2_3_4_5_6_7,_DisplayId,_ID,display_id__1_2_3_4_5_6_7,int2_3__1_5_6,row_highlight
2600 South Ocean Blvd.,16G Myrtle Beach Area--Southern Limit to 10TH Ave N,Myrtle Beach,CONDO/TOWNHOUSE,"<a href="""" title=""Actions"" class=""integrations-modal-link"" rel=""2320205:0""><img src=""/ParagonLS/Content/images/integrations_icon.png"" class=""integrations-icon""></a>",Efficiency,1,0,"<img class=""listingImage"" src=""https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2320205/0/120/90/df0f13b6155efe4af301376dd974e0a2/5/7c77e06e490679dee378c8581e8d11fe/2320205.JPG"" onclick=""(function(e){ loadSlideShow(2320205, 0,'2320205');  e.cancelBubble = true; return false; })(event)"">",EXPIRED,"<span class=""f-form-price-decrease-image-green""></span>$79,900",Condo,29577,2320205,2320205:0,"<a href=""javascript:;"" onclick=""javascript: parent.dataController.loadDefaultView('2320205', 0, false);"">2320205</a>",$181,statusColor4 priceDecrease f-form-price-decrease-image-green
5905 South Kings Hwy.,16J Myrtle Beach Area--includes Prestwick & Lakewood,Myrtle Beach,CONDO/TOWNHOUSE,"<a href="""" title=""Actions"" class=""integrations-modal-link"" rel=""2507283:0""><img src=""/ParagonLS/Content/images/integrations_icon.png"" class=""integrations-icon""></a>",Efficiency,1,0,"<img class=""listingImage"" src=""https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2507283/0/120/90/a33eef2467a6475e186f660509b25887/5/e5f5a1177fb840a73c4afccb9217dcbe/2507283-e3b1765d-81c5-4ef4-a9e8-9d3056661d35.JPG"" onclick=""(function(e){ loadSlideShow(2507283, 0,'2507283');  e.cancelBubble = true; return false; })(event)"">",EXPIRED,"$89,900",Condo,29575,2507283,2507283:0,"<a href=""javascript:;"" onclick=""javascript: parent.dataController.loadDefaultView('2507283', 0, false);"">2507283</a>",$798,statusColor4 
200 76th Ave. N,16D Myrtle Beach Area--48th Ave N to 79th Ave N,Myrtle Beach,CONDO/TOWNHOUSE,"<a href="""" title=""Actions"" class=""integrations-modal-link"" rel=""2508528:0""><img src=""/ParagonLS/Content/images/integrations_icon.png"" class=""integrations-icon""></a>",1,1,0,"<img class=""listingImage"" src=""https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2508528/0/120/90/a1b2cdca89e26be05767c72747637ffd/5/9f94eeef56a36d0a7a5d48b5f58c405a/2508528-1ce7eaf0-150b-413d-811a-a33e0f9ce40d.JPG"" onclick=""(function(e){ loadSlideShow(2508528, 0,'2508528');  e.cancelBubble = true; return false; })(event)"">",EXPIRED,"$182,500",Condo,29572,2508528,2508528:0,"<a href=""javascript:;"" onclick=""javascript: parent.dataController.loadDefaultView('2508528', 0, false);"">2508528</a>",$855,statusColor4 
126 Scotch Broom Dr.,04B Little River Area--North of Hwy 9,Little River,CONDO/TOWNHOUSE,"<a href="""" title=""Actions"" class=""integrations-modal-link"" rel=""2521628:0""><img src=""/ParagonLS/Content/images/integrations_icon.png"" class=""integrations-icon""></a>",2,2,0,"<img class=""listingImage"" src=""https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2521628/0/120/90/694b42c100238c8486a16baa2a17c989/5/7d4726d831663ab57831c862b819473c/2521628-dd3185fb-f19b-4885-a3fb-49567ce5cd29.JPG"" onclick=""(function(e){ loadSlideShow(2521628, 0,'2521628');  e.cancelBubble = true; return false; })(event)"">",EXPIRED,"<span class=""f-form-price-decrease-image-green""></span>$190,000",Condo,29566,2521628,2521628:0,"<a href=""javascript:;"" onclick=""javascript: parent.dataController.loadDefaultView('2521628', 0, false);"">2521628</a>",$299,statusColor4 priceDecrease f-form-price-decrease-image-green
6001 - D13 S Kings Hwy.,16J Myrtle Beach Area--includes Prestwick & Lakewood,Myrtle Beach,RESIDENTIAL,"<a href="""" title=""Actions"" class=""integrations-modal-link"" rel=""2523753:0""><img src=""/ParagonLS/Content/images/integrations_icon.png"" class=""integrations-icon""></a>",3,2,0,"<img class=""listingImage"" src=""https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2523753/0/120/90/dba91476303b4ceeec560cf96a65c814/5/d76af23939e96662343b6c4663c8716c/2523753-e48fcd26-e295-413e-80e9-594b5cbd16a5.JPG"" onclick=""(function(e){ loadSlideShow(2523753, 0,'2523753');  e.cancelBubble = true; return false; })(event)"">",EXPIRED,"<span class=""f-form-price-decrease-image-green""></span>$199,900",Manufactured Leased Land,29575,2523753,2523753:0,"<a href=""javascript:;"" onclick=""javascript: parent.dataController.loadDefaultView('2523753', 0, false);"">2523753</a>",$0,statusColor4 priceDecrease f-form-price-decrease-image-green
2016 Pint Circle,08A Loris to Conway Area--South of Loris above Rt 22,Longs,RESIDENTIAL,"<a href="""" title=""Actions"" class=""integrations-modal-link"" rel=""2605766:0""><img src=""/ParagonLS/Content/images/integrations_icon.png"" class=""integrations-icon""></a>",3,2,0,"<img class=""listingImage"" src=""https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2605766/0/120/90/2cc8c9af9747ca123fdcae4332d52e25/0/69bc97c0f4948a19d17b725fcf1e6b2b/2605766-dd8cee6e-efbd-44a7-968f-7047941f9b1b.JPG"" onclick=""(function(e){ loadSlideShow(2605766, 0,'2605766');  e.cancelBubble = true; return false; })(event)"">",EXPIRED,"<span class=""f-form-price-decrease-image-green""></span>$214,999",Manufactured with Land,29568,2605766,2605766:0,"<a href=""javascript:;"" onclick=""javascript: parent.dataController.loadDefaultView('2605766', 0, false);"">2605766</a>",$0,statusColor4 priceDecrease f-form-price-decrease-image-green
6015 Catalina Dr.,10C North Myrtle Beach Area--Barefoot Resort,North Myrtle Beach,CONDO/TOWNHOUSE,"<a href="""" title=""Actions"" class=""integrations-modal-link"" rel=""2524648:0""><img src=""/ParagonLS/Content/images/integrations_icon.png"" class=""integrations-icon""></a>",2,2,0,"<img class=""listingImage"" src=""https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2524648/0/120/90/49c4afe5609394044e0eeaf4babacb31/5/7334b61cd7ff072011a7cea8035f3c40/2524648-7fa93690-4202-4671-98b3-52072cbb511c.JPG"" onclick=""(function(e){ loadSlideShow(2524648, 0,'2524648');  e.cancelBubble = true; return false; })(event)"">",EXPIRED,"<span class=""f-form-price-decrease-image-green""></span>$227,250",Condo,29582,2524648,2524648:0,"<a href=""javascript:;"" onclick=""javascript: parent.dataController.loadDefaultView('2524648', 0, false);"">2524648</a>",$573,statusColor4 priceDecrease f-form-price-decrease-image-green
203 Marauder Dr.,03A Longs to Little River Area--North of 9 between Waccamaw River & Rt. 57,Longs,RESIDENTIAL,"<a href="""" title=""Actions"" class=""integrations-modal-link"" rel=""2605768:0""><img src=""/ParagonLS/Content/images/integrations_icon.png"" class=""integrations-icon""></a>",5,3,0,"<img class=""listingImage"" src=""https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2605768/0/120/90/39703849758c317b13a49418f83253dd/0/00948c9779bf332d6f4dbd5f694a5f4e/2605768-2E28753C-0D8B-43C3-984C-7BBF83BEA0B5.JPG"" onclick=""(function(e){ loadSlideShow(2605768, 0,'2605768');  e.cancelBubble = true; return false; })(event)"">",EXPIRED,"$399,999",Detached,29568,2605768,2605768:0,"<a href=""javascript:;"" onclick=""javascript: parent.dataController.loadDefaultView('2605768', 0, false);"">2605768</a>",$68,statusColor4 
205 Ocean Commons Dr.,28A Surfside Area--Surfside Triangle 544 to Glenns Bay,Surfside Beach,RESIDENTIAL,"<a href="""" title=""Actions"" class=""integrations-modal-link"" rel=""2525125:0""><img src=""/ParagonLS/Content/images/integrations_icon.png"" class=""integrations-icon""></a>",3,2,1,"<img class=""listingImage"" src=""https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2525125/0/120/90/05fa5c0a3793d02c9aaec4013863f05d/0/d7cf254f0200f7fd7e3fa99e1198b55c/2525125-81430013-bad6-46ba-b4f2-171b7c0b953a.JPG"" onclick=""(function(e){ loadSlideShow(2525125, 0,'2525125');  e.cancelBubble = true; return false; })(event)"">",EXPIRED,"<span class=""f-form-price-decrease-image-green""></span>$545,000",Detached,29575,2525125,2525125:0,"<a href=""javascript:;"" onclick=""javascript: parent.dataController.loadDefaultView('2525125', 0, false);"">2525125</a>",$89,statusColor4 priceDecrease f-form-price-decrease-image-green
2309 Seaseeker Ln.,16G Myrtle Beach Area--Southern Limit to 10TH Ave N,Myrtle Beach,RESIDENTIAL,"<a href="""" title=""Actions"" class=""integrations-modal-link"" rel=""2508519:0""><img src=""/ParagonLS/Content/images/integrations_icon.png"" class=""integrations-icon""></a>",4,3,1,"<img class=""listingImage"" src=""https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2508519/0/120/90/d4b5e4b6cd536e22a78a50b497f70211/5/6b39fc98a359a112a119afffc34751de/2508519-3df35608-4397-47e2-b72e-f70d59298c9f.JPG"" onclick=""(function(e){ loadSlideShow(2508519, 0,'2508519');  e.cancelBubble = true; return false; })(event)"">",EXPIRED,"<span class=""f-form-price-decrease-image-green""></span>$725,000",Detached with HPR,29577,2508519,2508519:0,"<a href=""javascript:;"" onclick=""javascript: parent.dataController.loadDefaultView('2508519', 0, false);"">2508519</a>",$270,statusColor4 priceDecrease f-form-price-decrease-image-green
