address,city,state,zip,mls_number,price,category,class,type
2600 South Ocean Blvd.,Myrtle Beach,SC,29577,2320205,79900,EXPIRED,CONDO/TOWNHOUSE,Condo
5905 South Kings Hwy.,Myrtle Beach,SC,29575,2507283,89900,EXPIRED,CONDO/TOWNHOUSE,Condo
200 76th Ave. N,Myrtle Beach,SC,29572,2508528,182500,EXPIRED,CONDO/TOWNHOUSE,Condo
126 Scotch Broom Dr.,Little River,SC,29566,2521628,190000,EXPIRED,CONDO/TOWNHOUSE,Condo
6001 - D13 S Kings Hwy.,Myrtle Beach,SC,29575,2523753,199900,EXPIRED,RESIDENTIAL,Manufactured Leased Land
2016 Pint Circle,Longs,SC,29568,2605766,214999,EXPIRED,RESIDENTIAL,Manufactured with Land
6015 Catalina Dr.,North Myrtle Beach,SC,29582,2524648,227250,EXPIRED,CONDO/TOWNHOUSE,Condo
203 Marauder Dr.,Longs,SC,29568,2605768,399999,EXPIRED,RESIDENTIAL,Detached
205 Ocean Commons Dr.,Surfside Beach,SC,29575,2525125,545000,EXPIRED,RESIDENTIAL,Detached
2309 Seaseeker Ln.,Myrtle Beach,SC,29577,2508519,725000,EXPIRED,RESIDENTIAL,Detached with HPR
3060 Marsh Island Dr.,Myrtle Beach,SC,29579,2600290,739900,EXPIRED,RESIDENTIAL,Detached
4501 N Ocean Blvd.,North Myrtle Beach,SC,29582,2603127,1270000,EXPIRED,MULTI-FAMILY,Apartments
