Address,Area,City,Class,Keyword1,Keyword2,Keyword3,StatusID,SystemPrice,Type,Zip,_DisplayId,_ID,display_id,int2_3,Category
313 Junco Circle,10A Conway to Myrtle Beach Area--between 90 & waterway Redhill/Grande Dunes,Longs,RESIDENTIAL,3,2,0,WITHDRAWN,0,Detached,29568,2607443,2607443:0,2607443,$75,WITHDRAWN
414 13th Ave. N,29A Surfside Beach--East of 17 & north of Surfside Drive,Surfside Beach,LAND,,,,WITHDRAWN,0,Residential Lot,29575,2416088,2416088:0,2416088,,WITHDRAWN
9530 Shore Dr.,16B Myrtle Beach Area--Arcadian,Myrtle Beach,CONDO/TOWNHOUSE,2,2,0,WITHDRAWN,0,Condo,29572,2501724,2501724:0,2501724,$0,WITHDRAWN
77 Ballyhoo St.,45B Pawleys Island Area-Pawleys Plantation S & DeBordieu,Georgetown,RESIDENTIAL,5,5,1,WITHDRAWN,0,Detached,29440,1016822,1016822:0,1016822,,WITHDRAWN
312  N Wall St.,31B North Carolina,Tabor City,RESIDENTIAL,2,1,0,WITHDRAWN,0,Detached,28463,1014742,1014742:0,1014742,,WITHDRAWN
490  N Highway 17 North,04B Little River Area--North of Hwy 9,Little River,LAND,,,,WITHDRAWN,0,Commercial Lot - Lease,29566,912442,912442:0,912442,,WITHDRAWN
216 Labonte St.,10A Conway to Myrtle Beach Area--between 90 & waterway Redhill/Grande Dunes,Conway,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,0,Retail,29526,909413,909413:0,909413,,WITHDRAWN
1833 Lone Star St.,10A Conway to Myrtle Beach Area--between 90 & waterway Redhill/Grande Dunes,Conway,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,0,Retail,29526,909410,909410:0,909410,,WITHDRAWN
225 Labonte St.,10A Conway to Myrtle Beach Area--between 90 & waterway Redhill/Grande Dunes,Conway,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,1,Industrial,29526,1421363,1421363:0,1421363,,WITHDRAWN
1900 N Highway 501,10B Myrtle Beach Area--Carolina Forest,Myrtle Beach,LAND,,,,WITHDRAWN,1,Commercial Lot - Sale,29577,1722324,1722324:0,1722324,,WITHDRAWN
2875 E Highway 501 E,10B Myrtle Beach Area--Carolina Forest,Conway,LAND,,,,WITHDRAWN,1,Commercial Lot - Sale,29526,1722326,1722326:0,1722326,,WITHDRAWN
123 Test St.,40A Murrells Inlet - Georgetown County,Andrews,RENTAL,1,1,1,WITHDRAWN,1,Detached,29510,1211259,1211259:0,1211259,,WITHDRAWN
