category,mls_number,price,property_type,address,city,zip,bedrooms,full_baths,half_baths,hoa_monthly
expired,2510819,"$31,000",Residential Lot,TBD Paul St.,Loris,29569,,,,
expired,2527296,"$119,900",Condo,402 Tree Top Ct.,Myrtle Beach,29588,1,1,0,$223
expired,2522936,"$170,000",Condo,105 Fountain Pointe Ln.,Myrtle Beach,29579,3,2,0,$250
expired,2524103,"$442,400",Detached,2775 Eton St.,Myrtle Beach,29579,3,2,1,$107
expired,2518056,"$684,900",Detached,1222 Spinnaker Dr.,North Myrtle Beach,29582,4,3,0,$192
expired,2526527,"$713,900",Detached,404 33rd Ave. N,North Myrtle Beach,29582,3,2,0,$0
expired,2526614,"$944,444",Commercial Lot - Sale,791 S Highway 17 Business,Surfside Beach,29575,,,,
withdrawn,2501724,$0,Condo,9530 Shore Dr.,Myrtle Beach,29572,2,2,0,$0
withdrawn,2416088,$0,Residential Lot,414 13th Ave. N,Surfside Beach,29575,,,,
withdrawn,909413,$0,Retail,216 Labonte St.,Conway,29526,,,,
withdrawn,912442,$0,Commercial Lot - Lease,490  N Highway 17 North,Little River,29566,,,,
withdrawn,909410,$0,Retail,1833 Lone Star St.,Conway,29526,,,,
withdrawn,1722326,$1,Commercial Lot - Sale,2875 E Highway 501 E,Conway,29526,,,,
withdrawn,2010779,$1,Retail,3731 Oleander Dr.,Myrtle Beach,29577,,,,
withdrawn,1722324,$1,Commercial Lot - Sale,1900 N Highway 501,Myrtle Beach,29577,,,,
withdrawn,1421363,$1,Industrial,225 Labonte St.,Conway,29526,,,,
withdrawn,1313908,$5,Industrial,3701 Forestbrook Rd.,Myrtle Beach,29588,,,,
withdrawn,916731,$6,Office,2311  S Kings Hwy.,Myrtle Beach,29578,,,,
withdrawn,922394,$6,Commercial - Do Not Use,454-A Century Circle,Conway,29526,,,,
withdrawn,904548,$6,Commercial - Do Not Use,279 S Highway 57 N,Little River,29566,,,,
withdrawn,922397,$6,Commercial - Do Not Use,460-C Century Circle,Conway,29526,,,,
withdrawn,800776,$7,Industrial,x Century Circle,Conway,29526,,,,
withdrawn,1117468,$8,Office,4720 Northgate Blvd.,Myrtle Beach,29588,,,,
withdrawn,1502941,$8,Commercial - Do Not Use,160 Rodeo Dr.,Myrtle Beach,29579,,,,
withdrawn,1921334,$8,Industrial,6319 Highway 90,Conway,29526,,,,
withdrawn,1006480,$8,Industrial,981 Fox Hollow Rd.,Conway,29526,,,,
withdrawn,1912292,$8,Retail,710 Highway 17 North,North Myrtle Beach,29582,,,,
withdrawn,1115507,$9,Office,1607 9th Ave. N,Conway,29526,,,,
withdrawn,922859,$9,Retail,440 Pinnacle Pl.,Little River,29566,,,,
withdrawn,1115385,$10,Commercial - Do Not Use,11665 Highway 707,Murrells Inlet,29576,,,,
withdrawn,2007267,$10,Office,12066 Highway 17 Bypass,Murrells Inlet,29576,,,,
withdrawn,912673,$10,Office,1331 44th Ave. N,Myrtle Beach,29577,,,,
withdrawn,2201779,$10,Office,951 Mr. Joe White Ave.,Myrtle Beach,29577,,,,
withdrawn,1501911,$10,Retail,2905 N Kings Hwy.,Myrtle Beach,29577,,,,
withdrawn,2127345,$10,Industrial,700 Century Circle,Conway,29526,,,,
withdrawn,817085,$10,Office,10607 Highway 707,Myrtle Beach,29588,,,,
withdrawn,1305595,$10,Retail,1214 Port Dr.,Myrtle Beach,29577,,,,
withdrawn,1206877,$11,Commercial - Do Not Use,2126 E Highway 9 E,Longs,29568,,,,
withdrawn,2407656,$11,Industrial,Highway 378,Conway,29527,,,,
withdrawn,729845,$11,Commercial - Do Not Use,7050 Highway 90,Longs,29568,,,,
withdrawn,1306177,$12,Office,9600 N Kings Hwy.,Myrtle Beach,29572,,,,
withdrawn,1115497,$12,Office,931 Medical Circle,Myrtle Beach,29572,,,,
withdrawn,2208356,$12,Retail,504 Yaupon Dr.,Myrtle Beach,29577,,,,
withdrawn,823894,$12,Office,671 Jamestown Dr.,Murrells Inlet,29576,,,,
withdrawn,902099,$12,Commercial - Do Not Use,828 3rd Ave. S,Surfside Beach,29575,,,,
withdrawn,1408003,$12,Office,1331 N 44th Ave. N,Myrtle Beach,29577,,,,
withdrawn,1113284,$12,Commercial - Do Not Use,1335 44th Ave. N,Myrtle Beach,29577,,,,
withdrawn,1521823,$12,Retail,1901 N Kings Hwy.,Myrtle Beach,29572,,,,
withdrawn,1504823,$12,Office,1705 N Oak St.,Myrtle Beach,29577,,,,
withdrawn,915798,$12,Office,1300 Second Ave.,Conway,29528,,,,
withdrawn,2407663,$14,Industrial,2787 Highway 378,Conway,29527,,,,
withdrawn,1817357,$14,Office,4593 Oleander Dr.,Myrtle Beach,29577,,,,
withdrawn,1209066,$14,Office,4720 Jenn Dr.,Myrtle Beach,29577,,,,
withdrawn,1713654,$14,Retail,710 Highway 17 South,North Myrtle Beach,29582,,,,
withdrawn,1608939,$14,Office,9600 N Highway 17 North,Myrtle Beach,29572,,,,
withdrawn,1717227,$15,Retail,4765 Highway 17 Bypass,Myrtle Beach,29577,,,,
withdrawn,1611141,$16,Retail,4306 River Oaks Dr.,Myrtle Beach,29579,,,,
withdrawn,1321492,$16,Commercial - Do Not Use,640 Morse Ave.,Murrells Inlet,29576,,,,
withdrawn,1922790,$16,Office,4703 Oleander Dr.,Myrtle Beach,29577,,,,
withdrawn,1906868,$17,Retail,4377 N Kings Hwy.,Myrtle Beach,29577,,,,
withdrawn,818992,$17,Office,235 Singleton Ridge Rd.,Conway,29526,,,,
